modelo,window,transform,exog,n_exog,use_tda,estrategia,fold,mae,rmse,mape,r2,__label__
LinearRegression,24,none,none,0,False,none,0,22.016116458019965,25.92711572382812,16.603202265944145,0.4291430812546603,LinearRegression|w24|none|noexog
LinearRegression,24,none,none,0,False,none,1,29.77894664390596,32.86853861794467,22.80140057485885,0.2354752550585742,LinearRegression|w24|none|noexog
LinearRegression,24,none,none,0,False,none,2,34.60025959835828,43.45441686243007,28.543259252703542,-0.1662474338104127,LinearRegression|w24|none|noexog
LinearRegression,24,none,none,0,False,none,3,27.63080531038386,37.36852210841827,19.996144580731347,0.0324914992970916,LinearRegression|w24|none|noexog
LinearRegression,24,none,none,0,False,dummy,0,22.016116458019965,25.92711572382812,16.603202265944145,0.4291430812546603,LinearRegression|w24|none|noexog|dummy
LinearRegression,24,none,none,0,False,dummy,1,29.77894664390596,32.86853861794467,22.80140057485885,0.2354752550585742,LinearRegression|w24|none|noexog|dummy
LinearRegression,24,none,none,0,False,dummy,2,34.60025959835828,43.45441686243007,28.543259252703542,-0.1662474338104127,LinearRegression|w24|none|noexog|dummy
LinearRegression,24,none,none,0,False,dummy,3,27.63080531038386,37.36852210841827,19.996144580731347,0.0324914992970916,LinearRegression|w24|none|noexog|dummy
LinearRegression,24,none,none,0,False,winsorize,0,22.016116458019965,25.92711572382812,16.603202265944145,0.4291430812546603,LinearRegression|w24|none|noexog|winsorize
LinearRegression,24,none,none,0,False,winsorize,1,29.77894664390596,32.86853861794467,22.80140057485885,0.2354752550585742,LinearRegression|w24|none|noexog|winsorize
LinearRegression,24,none,none,0,False,winsorize,2,34.60025959835828,43.45441686243007,28.543259252703542,-0.1662474338104127,LinearRegression|w24|none|noexog|winsorize
LinearRegression,24,none,none,0,False,winsorize,3,27.63080531038386,37.36852210841827,19.996144580731347,0.0324914992970916,LinearRegression|w24|none|noexog|winsorize
LinearRegression,24,none,none,0,False,exclude,0,22.016116458019965,25.92711572382812,16.603202265944145,0.4291430812546603,LinearRegression|w24|none|noexog|exclude
LinearRegression,24,none,none,0,False,exclude,1,29.77894664390596,32.86853861794467,22.80140057485885,0.2354752550585742,LinearRegression|w24|none|noexog|exclude
LinearRegression,24,none,none,0,False,exclude,2,34.60025959835828,43.45441686243007,28.543259252703542,-0.1662474338104127,LinearRegression|w24|none|noexog|exclude
LinearRegression,24,none,none,0,False,exclude,3,27.63080531038386,37.36852210841827,19.996144580731347,0.0324914992970916,LinearRegression|w24|none|noexog|exclude
LinearRegression,24,none,none,0,False,isolation,0,22.081948726791047,26.273579273907423,16.635644920694055,0.4137844436493595,LinearRegression|w24|none|noexog|isolation
LinearRegression,24,none,none,0,False,isolation,1,28.85897004412098,32.01365705655626,22.271126389822328,0.2747272961355216,LinearRegression|w24|none|noexog|isolation
LinearRegression,24,none,none,0,False,isolation,2,32.77003435366471,39.847275632700864,26.671762869316066,0.0193362625127595,LinearRegression|w24|none|noexog|isolation
LinearRegression,24,none,none,0,False,isolation,3,27.919817092296988,39.64387020321819,19.94801308959881,-0.0889176472705417,LinearRegression|w24|none|noexog|isolation
LinearRegression,24,none,none,0,True,none,0,28.79274223217448,33.48181159446101,21.617360036531817,0.0480004276684171,LinearRegression|w24|none|noexog|tda
LinearRegression,24,none,none,0,True,none,1,28.343260371382755,31.74438741099757,21.345602495961906,0.2868766489254899,LinearRegression|w24|none|noexog|tda
LinearRegression,24,none,none,0,True,none,2,35.565501610708964,44.609608651278286,27.74139640552377,-0.2290786513534946,LinearRegression|w24|none|noexog|tda
LinearRegression,24,none,none,0,True,none,3,32.284673613055084,42.2539461745321,22.110332698773817,-0.237022202399133,LinearRegression|w24|none|noexog|tda
LinearRegression,24,none,none,0,True,dummy,0,28.79274223217448,33.48181159446101,21.617360036531817,0.0480004276684171,LinearRegression|w24|none|noexog|tda|dummy
LinearRegression,24,none,none,0,True,dummy,1,28.343260371382755,31.74438741099757,21.345602495961906,0.2868766489254899,LinearRegression|w24|none|noexog|tda|dummy
LinearRegression,24,none,none,0,True,dummy,2,35.565501610708964,44.609608651278286,27.74139640552377,-0.2290786513534946,LinearRegression|w24|none|noexog|tda|dummy
LinearRegression,24,none,none,0,True,dummy,3,32.284673613055084,42.2539461745321,22.110332698773817,-0.237022202399133,LinearRegression|w24|none|noexog|tda|dummy
LinearRegression,24,none,none,0,True,winsorize,0,28.79274223217448,33.48181159446101,21.617360036531817,0.0480004276684171,LinearRegression|w24|none|noexog|tda|winsorize
LinearRegression,24,none,none,0,True,winsorize,1,28.343260371382755,31.74438741099757,21.345602495961906,0.2868766489254899,LinearRegression|w24|none|noexog|tda|winsorize
LinearRegression,24,none,none,0,True,winsorize,2,35.565501610708964,44.609608651278286,27.74139640552377,-0.2290786513534946,LinearRegression|w24|none|noexog|tda|winsorize
LinearRegression,24,none,none,0,True,winsorize,3,32.284673613055084,42.2539461745321,22.110332698773817,-0.237022202399133,LinearRegression|w24|none|noexog|tda|winsorize
LinearRegression,24,none,none,0,True,exclude,0,28.79274223217448,33.48181159446101,21.617360036531817,0.0480004276684171,LinearRegression|w24|none|noexog|tda|exclude
LinearRegression,24,none,none,0,True,exclude,1,28.343260371382755,31.74438741099757,21.345602495961906,0.2868766489254899,LinearRegression|w24|none|noexog|tda|exclude
LinearRegression,24,none,none,0,True,exclude,2,35.565501610708964,44.609608651278286,27.74139640552377,-0.2290786513534946,LinearRegression|w24|none|noexog|tda|exclude
LinearRegression,24,none,none,0,True,exclude,3,32.284673613055084,42.2539461745321,22.110332698773817,-0.237022202399133,LinearRegression|w24|none|noexog|tda|exclude
LinearRegression,24,none,none,0,True,isolation,0,25.087863870396443,30.501073591437173,18.899796542056915,0.2099599477951991,LinearRegression|w24|none|noexog|tda|isolation
LinearRegression,24,none,none,0,True,isolation,1,45.46928642772474,53.679451973145056,36.51850531495139,-1.039139338214067,LinearRegression|w24|none|noexog|tda|isolation
LinearRegression,24,none,none,0,True,isolation,2,33.77778210823006,43.59633627105367,26.74297059014424,-0.1738776558167758,LinearRegression|w24|none|noexog|tda|isolation
